Dataset,Model,Grouping,Epsilon,Status
Beauty,NCF,0.05_count,0.0909326531512525,Completed
Beauty,NCF,sum_0.05,0.08566578758953278,Completed
Beauty,NCF,max_0.05,0.04193247482725664,Completed
Beauty,biasedMF,0.05_count,0.08953465530856963,Completed
Beauty,biasedMF,sum_0.05,0.08375273277554086,Completed
Beauty,biasedMF,max_0.05,0.03727163479747775,Completed
Grocery,NCF,0.05_count,0.11752452709715028,Completed
Grocery,NCF,sum_0.05,0.10173417584271796,Completed
Grocery,NCF,max_0.05,0.044308360381307976,Completed
Grocery,biasedMF,0.05_count,0.11309803173782582,Completed
Grocery,biasedMF,sum_0.05,0.09852403901372862,Completed
Grocery,biasedMF,max_0.05,0.0452305263854382,Completed
Health,NCF,0.05_count,0.10740213922604822,Completed
Health,NCF,sum_0.05,0.1078680880832468,Completed
Health,NCF,max_0.05,0.047385322595334844,Completed
Health,biasedMF,0.05_count,0.10462843572517509,Completed
Health,biasedMF,sum_0.05,0.10364880718719426,Completed
Health,biasedMF,max_0.05,0.04404021451795248,Completed
